Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,LAU2_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-17 08:59:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 09:00:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 09:01:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 09:02:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 09:03:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 09:04:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 09:05:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:06:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:07:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:08:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:09:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:10:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:11:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:12:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:13:00,91,59,0,0,0,102,0,0,0,252,0,0,252,33.7074298892459,255.976763328062,0.495438896763991
2016-10-17 09:14:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:15:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:16:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:17:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:18:00,91,59,0,0,0,102,0,0,0,252,0,0,252,33.7074298892459,255.976763328062,0.495438896763991
2016-10-17 09:19:00,91,59,0,0,0,102,0,0,0,252,0,0,252,34.0060316219236,256.043306989413,0.495567690947251
2016-10-17 09:20:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 09:21:00,91,0,0,0,0,102,0,0,0,193,0,0,193,34.0060316219236,198.09418264532,0.383408095442554
2016-10-17 09:22:00,91,0,0,0,0,102,0,0,0,193,0,0,193,33.7074298892459,198.011705307998,0.383248461886447
