Time,BA1_CFM,LAU_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-13 04:18:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:19:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:20:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:21:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:22:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:23:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:24:00,54,0,0,54,0,0,54,26.6590332232989,62.8112146153974,0.697902384615527
2017-11-13 04:25:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:26:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:27:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:28:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:29:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:30:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:31:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:32:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:33:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:34:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:35:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:36:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:37:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:38:00,54,0,0,54,0,0,54,26.4952586936171,62.7209948093174,0.696899942325748
2017-11-13 04:39:00,54,0,0,54,0,0,54,26.3307156303639,62.6306536692302,0.695896151880336
2017-11-13 04:40:00,54,0,0,54,0,0,54,26.3307156303639,62.6306536692302,0.695896151880336
2017-11-13 04:41:00,54,0,0,54,0,0,54,26.3307156303639,62.6306536692302,0.695896151880336
2017-11-13 04:42:00,54,0,0,54,0,0,54,26.3307156303639,62.6306536692302,0.695896151880336
2017-11-13 04:43:00,54,0,0,54,0,0,54,26.3307156303639,62.6306536692302,0.695896151880336
2017-11-13 04:44:00,54,0,0,54,0,0,54,26.3307156303639,62.6306536692302,0.695896151880336
2017-11-13 04:45:00,54,0,0,54,0,0,54,26.3307156303639,62.6306536692302,0.695896151880336
2017-11-13 04:46:00,54,0,0,54,0,0,54,26.3307156303639,62.6306536692302,0.695896151880336
2017-11-13 04:47:00,54,0,0,54,0,0,54,25.39448668564,62.1224777808632,0.690249753120702
2017-11-13 04:48:00,54,0,0,54,0,0,54,25.39448668564,62.1224777808632,0.690249753120702
2017-11-13 04:49:00,54,0,0,54,0,0,54,25.39448668564,62.1224777808632,0.690249753120702
2017-11-13 04:50:00,54,0,0,54,0,0,54,25.39448668564,62.1224777808632,0.690249753120702
2017-11-13 04:51:00,54,0,0,54,0,0,54,25.39448668564,62.1224777808632,0.690249753120702
2017-11-13 04:52:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 04:53:00,54,0,0,54,0,0,54,25.39448668564,62.1224777808632,0.690249753120702
2017-11-13 04:54:00,54,0,0,54,0,0,54,25.39448668564,62.1224777808632,0.690249753120702
2017-11-13 04:55:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 04:56:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 04:57:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 04:58:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 04:59:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 05:00:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 05:01:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 05:02:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 05:03:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
2017-11-13 05:04:00,54,0,0,54,0,0,54,25.2245514179914,62.0313234073345,0.689236926748161
